"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",2.14277877088033,
"LUX","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",20.1381100357263,
"LUX","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-11.470719,
"LUX","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-62.984944,
"NLD","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",10.0552529273769,
"NLD","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",4.0528180173488,
"NLD","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-1.23213037053988,
"NLD","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",4.97700090357334,
"NLD","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-4.38760519520554,
"NLD","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-70.1412609524832,
"NZL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",9.4305609897324,
"NZL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-0.894058509822136,
"NZL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-0.507274652005876,
"NZL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-0.266643174238238,
"NZL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-11.6880251684137,
"NZL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-44.597083908925,
"NOR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",-3.47011441119896,
"NOR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",12.8283580623655,
"NOR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",11.8621722443276,
"NOR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-0.529397215614545,
"NOR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-18.9322615862968,
"NOR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-59.4755354077177,
"PRT","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",21.0855310584772,
"PRT","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-1.70804265582262,
"PRT","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-3.09353427092575,
"PRT","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-3.36748889352855,
